WKT,Улица_у_којој_се_налази _паркиралиште,Ознака_паркиралишта_од/до,Зона_паркиралишта,Цена_паркинг_карте_по започетом сату,СМС_уплата_за карту_по започетом_сату_на_број,Временско_ограничење_у_зони паркирања,Цена_вишесатне_карте,СМС_уплата_за_вишесатну_карту_на_број,Карактер_паркиралишта,лат_ паркиралишта,лон_паркиралишта,Број_паркинг_места,Број паркинг места за особе са инвалидитетом,Број_резервисаних_паркинг_места
"POINT (21.899316 43.322729)",Лоле Рибара,7. јула/Кеја 29. децембра (13а-21 и 18-26),"2","37","9182",да,"370","9185",Улично,43.322729,21.899316,"11","0","10"
"POINT (21.899101 43.324511)",Мачванска,7. јула/Кеја 29. децембра (17-25 и 18-30),"2","37","9182",да,"370","9185",Улично,43.324511,21.899101,"11","0","0"
"POINT (21.896537 43.313173)",Марије Бурсаћ,Марије Бурсаћ,"2","37","9182",да,"370","9185",Улично,43.313173,21.896537,"8","0","0"
"POINT (21.90272 43.325244)",Милентијева,Милентијева,"2","37","9182",да,"370","9185",Улично,43.325244,21.90272,"45","0","4"
"POINT (21.893095 43.315903)",Момчила Поповића,Обилићевог венца/Стојана Новаковића (сви бројеви),"2","37","9182",да,"370","9185",Улично,43.315903,21.893095,"18","0","0"
"POINT (21.886037 43.316229)",Новопазарска,Новопазарска,"2","37","9182",да,"370","9185",Улично,43.316229,21.886037,"16","0","0"
"POINT (21.883744 43.316214)",Обилићев венац,Обилићев венац,"2","37","9182",да,"370","9185",Улично,43.316214,21.883744,"140","0","0"
"POINT (21.896582 43.316751)",Облачића Рада,Облачића Рада,"2","37","9182",да,"370","9185",Улично,43.316751,21.896582,"7","0","5"
"POINT (21.894464 43.316833)",Обреновићева,Цара Душана/Трга 14.октобра и део Хиландарске од трг 14.октобра/Доситеја Обрадовића (57-59 и 84-124),"2","37","9182",да,"370","9185",Улично,43.316833,21.894464,"42","0","0"
"POINT (21.898158 43.323)",Улица младих,7. јула/Кеја 29. децембра (24-26а),"2","37","9182",да,"370","9185",Улично,43.323,21.898158,"19","0","2"
"POINT (21.917112 43.320367)",Париске комуне,Париске комуне,"2","37","9182",да,"370","9185",Улично,43.320367,21.917112,"62","2","15"
"POINT (21.895709 43.317016)",Пријездина,Пријездина,"2","37","9182",да,"370","9185",Улично,43.317016,21.895709,"79","3","7"
"POINT (21.902977 43.317095)",Првомајска,Јосифа Панчића/Ћирила и Методија ( 1-33 и 2-18),"2","37","9182",да,"370","9185",Улично,43.317095,21.902977,"67","0","0"
"POINT (21.897982 43.31489)",Рајићева,Рајићева,"2","37","9182",да,"370","9185",Улично,43.31489,21.897982,"56","2","0"
"POINT (21.88991 43.318429)",Соколска,Соколска,"2","37","9182",да,"370","9185",Улично,43.318429,21.88991,"41","0","0"
"POINT (21.887481 43.316985)",Сретена Стефановића,Сретена Стефановића,"2","37","9182",да,"370","9185",Улично,43.316985,21.887481,"7","0","0"
"POINT (21.894319 43.313819)",Станка Власотинчанина,Станка Власотинчанина,"2","37","9182",да,"370","9185",Улично,43.313819,21.894319,"23","0","0"
"POINT (21.891424 43.315658)",Стојана Новаковића,Стојана Новаковића,"2","37","9182",да,"370","9185",Улично,43.315658,21.891424,"40","1","0"
"POINT (21.894273 43.323209)",Шуматовачка,Булевар 12. фебруар/Универзитетског Трга (1-15а и 2-30),"2","37","9182",да,"370","9185",Улично,43.323209,21.894273,"27","0","0"
"POINT (21.901097 43.323416)",Светосавска,7. јула/Кеја 29. децембра (9-17 и 10-20),"2","37","9182",да,"370","9185",Улично,43.323416,21.901097,"13","0","0"
"POINT (21.903177 43.320815)",Тодора Миловановића,Тодора Миловановића,"2","37","9182",да,"370","9185",Улично,43.320815,21.903177,"34","0","0"
"POINT (21.899745 43.314988)",Томе Росандића,Томе Росандића,"2","37","9182",да,"370","9185",Улично,43.314988,21.899745,"19","0","0"
"POINT (21.890257 43.317564)",Топличина,Топличина,"2","37","9182",да,"370","9185",Улично,43.317564,21.890257,"40","0","2"
"POINT (21.895329 43.314829)",Трг 14. октобар,Трг 14. октобар,"2","37","9182",да,"370","9185",Улично,43.314829,21.895329,"27","2","0"
"POINT (21.89038 43.317631)",Трг краља Александра,Трг краља Александра,"2","37","9182",да,"370","9185",Улично,43.317631,21.89038,"27","3","13"
"POINT (21.899306 43.315106)",Трг учитељ Тасе,Трг учитељ Тасе,"2","37","9182",да,"370","9185",Улично,43.315106,21.899306,"22","0","2"
"POINT (21.900032 43.316099)",Учитељ Милина,Рајићеве /Хајдук Вељкове (1-29и 2-16),"2","37","9182",да,"370","9185",Улично,43.316099,21.900032,"14","0","0"
"POINT (21.900417 43.316008)",Учитељ Милина,Хајдук Вељкове/Ратка Вукићевића (31-43 и 20-22),"2","37","9182",да,"370","9185",Улично,43.316008,21.900417,"10","0","0"
"POINT (21.894635 43.316058)",Учитељ Тасина,Учитељ Тасина,"2","37","9182",да,"370","9185",Улично,43.316058,21.894635,"51","0","0"
"POINT (21.886876 43.31759)",Вардарска,Обилићевог венца/Милојка Лешјанина (сви бројеви),"2","37","9182",да,"370","9185",Улично,43.31759,21.886876,"59","0","0"
"POINT (21.903871 43.317122)",Војводе Мишића,9 бригаде/Војводе Танкосића (1-113 и од 2 до 62),"2","37","9182",да,"370","9185",Улично,43.317122,21.903871,"63","0","1"
"POINT (21.908051 43.321902)",Војводе Танкосића,7. јула/Војводе Мишића ( 3-11 и 10-42),"2","37","9182",да,"370","9185",Улично,43.321902,21.908051,"64","3","0"
"POINT (21.90151 43.319465)",Војводе Вука,Војводе Вука,"2","37","9182",да,"370","9185",Улично,43.319465,21.90151,"23","0","0"
"POINT (21.903355 43.322052)",Зеленгорска,Зеленгорска,"2","37","9182",да,"370","9185",Улично,43.322052,21.903355,"38","0","0"
"POINT (21.911141 43.317583)",Зетска,Зетска,"2","37","9182",да,"370","9185",Улично,43.317583,21.911141,"15","0","0"
