WKT,Улица_у_којој_се_налази _паркиралиште,Ознака_паркиралишта_од/до,Зона_паркиралишта,Цена_паркинг_карте_по започетом сату,СМС_уплата_за карту_по започетом_сату_на_број,Временско_ограничење_у_зони паркирања,Цена_вишесатне_карте,СМС_уплата_за_вишесатну_карту_на_број,Карактер_паркиралишта,лат_ паркиралишта,лон_паркиралишта,Број_паркинг_места,Број паркинг места за особе са инвалидитетом,Број_резервисаних_паркинг_места
"POINT (21.902373 43.323795)",7. јула,Краља Стефана Првовенчаног/Булевара Немањића (27-35 и 26-40),"2","37","9182",да,"370","9185",Улично,43.323795,21.902373,"15","0","0"
"POINT (21.903895 43.317064)",9. бригаде,9. бригаде,"2","37","9182",да,"370","9185",Улично,43.317064,21.903895,"46","0","0"
"POINT (21.891649 43.322139)",Анете Андрејевић,Анете Андрејевић,"2","37","9182",да,"370","9185",Улично,43.322139,21.891649,"28","0","0"
"POINT (21.91686 43.320181)",Бошко Буха,Бошко Буха,"2","37","9182",да,"370","9185",Улично,43.320181,21.91686,"14","0","0"
"POINT (21.899934 43.317638)",Цара Душана,Мије Петровића/Војводе Мишића (49-99 и 64-122),"2","37","9182",да,"370","9185",Улично,43.317638,21.899934,"35","1","0"
"POINT (21.905086 43.318292)",Цара Душана,Војводе Мишића/Зорана Ђинђића (122-170),"2","37","9182",да,"370","9185",Улично,43.318292,21.905086,"28","0","0"
"POINT (21.900989 43.32128)",Ћирила и Методија,Ћирила и Методија,"2","37","9182",да,"370","9185",Улично,43.32128,21.900989,"58","3","0"
"POINT (21.892438 43.323175)",Добричка,Добричка,"2","37","9182",да,"370","9185",Улично,43.323175,21.892438,"34","0","0"
"POINT (21.904212 43.321579)",Добриле Трајковић,Добриле Трајковић,"2","37","9182",да,"370","9185",Улично,43.321579,21.904212,"13","0","0"
"POINT (21.891478 43.313522)",Доситеја Обрадовића,Доситеја Обрадовића,"2","37","9182",да,"370","9185",Улично,43.313522,21.891478,"15","0","0"
"POINT (21.887525 43.31862)",Др. Петра Вучинића,Др. Петра Вучинића,"2","37","9182",да,"370","9185",Улично,43.31862,21.887525,"20","0","0"
"POINT (21.89022 43.324488)",Ђуке Динић,Ђуке Динић,"2","37","9182",да,"370","9185",Улично,43.324488,21.89022,"56","2","0"
"POINT (21.898322 43.313209)",Епископска,Епископска,"2","37","9182",да,"370","9185",Улично,43.313209,21.898322,"45","0","0"
"POINT (21.892634 43.32412)",Франца Розмана,Франца Розмана,"2","37","9182",да,"370","9185",Улично,43.32412,21.892634,"11","0","0"
"POINT (21.900192 43.31967)",Генерала Боже Јанковића,Генерала Боже Јанковића,"2","37","9182",да,"370","9185",Улично,43.31967,21.900192,"58","0","0"
"POINT (21.90262 43.317008)",Хајдук Вељкова,Јосифа Панчића/Учитељ Милине (1-29 и 2-18),"2","37","9182",да,"370","9185",Улично,43.317008,21.90262,"18","3","0"
"POINT (21.892031 43.314073)",Јабланичка,Јабланичка,"2","37","9182",да,"370","9185",Улично,43.314073,21.892031,"25","0","0"
"POINT (21.898336 43.316107)",Јанка Веселиновића,Јанка Веселиновића,"2","37","9182",да,"370","9185",Улично,43.316107,21.898336,"27","0","0"
"POINT (21.891001 43.323019)",Јелене Димитријевић,Јелене Димитријевић,"2","37","9182",да,"370","9185",Улично,43.323019,21.891001,"16","1","0"
"POINT (21.898229 43.322991)",Јеронимова,Јеронимова,"2","37","9182",да,"370","9185",Улично,43.322991,21.898229,"35","2","0"
"POINT (21.886878 43.31735)",Јована Ристића,Вардарске/Трг Александра Ујединитеља (1-29 и 2-20),"2","37","9182",да,"370","9185",Улично,43.31735,21.886878,"60","1","0"
"POINT (21.905609 43.321955)",Јована Скерлића,Јована Скерлића,"2","37","9182",да,"370","9185",Улично,43.321955,21.905609,"33","0","0"
"POINT (21.891584 43.317505)",Југ Богданова,Југ Богданова,"2","37","9182",да,"370","9185",Улично,43.317505,21.891584,"33","0","0"
"POINT (21.889455 43.316447)",Југовићева,Југовићева,"2","37","9182",да,"370","9185",Улично,43.316447,21.889455,"29","1","0"
"POINT (21.892714 43.315794)",Катићева,Катићева,"2","37","9182",да,"370","9185",Улично,43.315794,21.892714,"19","0","0"
"POINT (21.890689 43.321019)",Кеј кола српских сестара,Срумска/Књегиње Љубице (29-37),"2","37","9182",да,"370","9185",Улично,43.321019,21.890689,"28","2","0"
"POINT (21.890611 43.321758)",Кеј Мике Палигорића,Булевар 12. фебруар/Универзитетског Трга (сви бројеви),"2","37","9182",да,"370","9185",Улично,43.321758,21.890611,"65","2","2"
"POINT (21.89842 43.316402)",Косте Стаменковића,Цара Душана/Хајдук Вељкове (9-11 и 8-16),"2","37","9182",да,"370","9185",Улично,43.316402,21.89842,"26","0","0"
"POINT (21.891365 43.316344)",Козарачка,Козарачка,"2","37","9182",да,"370","9185",Улично,43.316344,21.891365,"7","0","0"
"POINT (21.903041 43.319009)",Краља Вукашина,Краља Вукашина,"2","37","9182",да,"370","9185",Улично,43.319009,21.903041,"14","0","0"
"POINT (21.898857 43.313887)",ЛЈубићска,ЛЈубићска,"2","37","9182",да,"370","9185",Улично,43.313887,21.898857,"13","0","0"
